manageNumber,variantId,skuInfo
smarttanpaku1000_3-ss,mmma29_1000_3,フレーバー1:ミックスベリー フレーバー2:ミックスベリー フレーバー2:抹茶
smarttanpaku1000_3-ss,yyma30_1000_3,フレーバー1:ヨーグルト フレーバー2:ヨーグルト フレーバー2:抹茶
smarttanpaku1000_3-ss,mayma30_1000_3,フレーバー1:抹茶 フレーバー2:ヨーグルト フレーバー2:抹茶
smarttanpaku1000_3-ss,yym30_1000_3,フレーバー1:ヨーグルト フレーバー2:ヨーグルト フレーバー2:ミックスベリー
smarttanpaku800_2,smarttanpaku800_2-yog-mix,フレーバー1:ヨーグルト フレーバー2:ミックスベリー
smarttanpaku800_2,smarttanpaku800_2-yog-mat,フレーバー1:ヨーグルト フレーバー2:抹茶
smarttanpaku800_2,smarttanpaku800_2-caf-mat,フレーバー1:カフェオレ フレーバー2:抹茶
smarttanpaku800_2,smarttanpaku800_2-mat-mix,フレーバー1:抹茶 フレーバー2:ミックスベリー
smarttanpaku800_2,smarttanpaku800_2-yog-yog,フレーバー1:ヨーグルト フレーバー2:ヨーグルト
smarttanpaku800_2,smarttanpaku800_2-caf-mix,フレーバー1:カフェオレ フレーバー2:ミックスベリー
smarttanpaku800_2,smarttanpaku800_2-mat-mat,フレーバー1:抹茶 フレーバー2:抹茶
smarttanpaku800_2,smarttanpaku800_2-cho-caf,フレーバー1:チョコレート フレーバー2:カフェオレ
smarttanpaku800_2,smarttanpaku800_2-yog-cho,フレーバー1:ヨーグルト フレーバー2:チョコレート
smarttanpaku800_2,smarttanpaku800_2-mat-caf,フレーバー1:抹茶 フレーバー2:カフェオレ
smarttanpaku800_2,smarttanpaku800_2-mix-cho,フレーバー1:ミックスベリー フレーバー2:チョコレート
smarttanpaku800_2,smarttanpaku800_2-cho-yog,フレーバー1:チョコレート フレーバー2:ヨーグルト
smarttanpaku800_2,smarttanpaku800_2-mat-yog,フレーバー1:抹茶 フレーバー2:ヨーグルト
smarttanpaku800_2,smarttanpaku800_2-caf-cho,フレーバー1:カフェオレ フレーバー2:チョコレート
smarttanpaku800_2,smarttanpaku800_2-caf-caf,フレーバー1:カフェオレ フレーバー2:カフェオレ
smarttanpaku800_2,smarttanpaku800_2-mix-mix,フレーバー1:ミックスベリー フレーバー2:ミックスベリー
smarttanpaku800_2,smarttanpaku800_2-cho-mix,フレーバー1:チョコレート フレーバー2:ミックスベリー
smarttanpaku800_2,smarttanpaku800_2-caf-yog,フレーバー1:カフェオレ フレーバー2:ヨーグルト
smarttanpaku800_2,smarttanpaku800_2-mix-mat,フレーバー1:ミックスベリー フレーバー2:抹茶
smarttanpaku800_2,smarttanpaku800_2-cho-mat,フレーバー1:チョコレート フレーバー2:抹茶
smarttanpaku800_2,smarttanpaku800_2-mix-caf,フレーバー1:ミックスベリー フレーバー2:カフェオレ
smarttanpaku800_2,smarttanpaku800_2-cho-cho,フレーバー1:チョコレート フレーバー2:チョコレート
smarttanpaku800_2,smarttanpaku800_2-mix-yog,フレーバー1:ミックスベリー フレーバー2:ヨーグルト
smarttanpaku800_2,smarttanpaku800_2-mat-cho,フレーバー1:抹茶 フレーバー2:チョコレート
smarttanpaku800_2,smarttanpaku800_2-yog-caf,フレーバー1:ヨーグルト フレーバー2:カフェオレ
smarttanpaku800_2-ss,smarttanpaku800_2-yog-mix,フレーバー1:ヨーグルト フレーバー2:ミックスベリー
smarttanpaku800_2-ss,smarttanpaku800_2-yog-mat,フレーバー1:ヨーグルト フレーバー2:抹茶
smarttanpaku800_2-ss,smarttanpaku800_2-caf-mat,フレーバー1:カフェオレ フレーバー2:抹茶
smarttanpaku800_2-ss,smarttanpaku800_2-mat-mix,フレーバー1:抹茶 フレーバー2:ミックスベリー
smarttanpaku800_2-ss,smarttanpaku800_2-yog-yog,フレーバー1:ヨーグルト フレーバー2:ヨーグルト
smarttanpaku800_2-ss,smarttanpaku800_2-caf-mix,フレーバー1:カフェオレ フレーバー2:ミックスベリー
smarttanpaku800_2-ss,smarttanpaku800_2-mat-mat,フレーバー1:抹茶 フレーバー2:抹茶
smarttanpaku800_2-ss,smarttanpaku800_2-cho-caf,フレーバー1:チョコレート フレーバー2:カフェオレ
smarttanpaku800_2-ss,smarttanpaku800_2-yog-cho,フレーバー1:ヨーグルト フレーバー2:チョコレート
smarttanpaku800_2-ss,smarttanpaku800_2-mat-caf,フレーバー1:抹茶 フレーバー2:カフェオレ
smarttanpaku800_2-ss,smarttanpaku800_2-mix-cho,フレーバー1:ミックスベリー フレーバー2:チョコレート
smarttanpaku800_2-ss,smarttanpaku800_2-cho-yog,フレーバー1:チョコレート フレーバー2:ヨーグルト
smarttanpaku800_2-ss,smarttanpaku800_2-mat-yog,フレーバー1:抹茶 フレーバー2:ヨーグルト
smarttanpaku800_2-ss,smarttanpaku800_2-caf-cho,フレーバー1:カフェオレ フレーバー2:チョコレート
smarttanpaku800_2-ss,smarttanpaku800_2-caf-caf,フレーバー1:カフェオレ フレーバー2:カフェオレ
smarttanpaku800_2-ss,smarttanpaku800_2-mix-mix,フレーバー1:ミックスベリー フレーバー2:ミックスベリー
smarttanpaku800_2-ss,smarttanpaku800_2-cho-mix,フレーバー1:チョコレート フレーバー2:ミックスベリー
smarttanpaku800_2-ss,smarttanpaku800_2-caf-yog,フレーバー1:カフェオレ フレーバー2:ヨーグルト
smarttanpaku800_2-ss,smarttanpaku800_2-mix-mat,フレーバー1:ミックスベリー フレーバー2:抹茶
smarttanpaku800_2-ss,smarttanpaku800_2-cho-mat,フレーバー1:チョコレート フレーバー2:抹茶
smarttanpaku800_2-ss,smarttanpaku800_2-mix-caf,フレーバー1:ミックスベリー フレーバー2:カフェオレ
smarttanpaku800_2-ss,smarttanpaku800_2-cho-cho,フレーバー1:チョコレート フレーバー2:チョコレート
smarttanpaku800_2-ss,smarttanpaku800_2-mix-yog,フレーバー1:ミックスベリー フレーバー2:ヨーグルト
smarttanpaku800_2-ss,smarttanpaku800_2-mat-cho,フレーバー1:抹茶 フレーバー2:チョコレート
smarttanpaku800_2-ss,smarttanpaku800_2-yog-caf,フレーバー1:ヨーグルト フレーバー2:カフェオレ
smarttanpaku800_2s,matcha-yogurt21,フレーバー:抹茶 フレーバー:ヨーグルト シェイカー:シェイカー
smarttanpaku800_2s,choco-mixb18,フレーバー:チョコレート フレーバー:ミックスベリー シェイカー:シェイカー
smarttanpaku800_2s,yogurt-matcha20,フレーバー:ヨーグルト フレーバー:抹茶 シェイカー:シェイカー
smarttanpaku800_2s,mix-cafe19,フレーバー:ミックスベリー フレーバー:カフェオレ シェイカー:シェイカー
smarttanpaku800_2s,cafe-cafe20,フレーバー:カフェオレ フレーバー:カフェオレ シェイカー:シェイカー
smarttanpaku800_2s,choco-yogurt18,フレーバー:チョコレート フレーバー:ヨーグルト シェイカー:シェイカー
smarttanpaku800_2s,matcha-matcha21,フレーバー:抹茶 フレーバー:抹茶 シェイカー:シェイカー
smarttanpaku800_2s,cafe-choco20,フレーバー:カフェオレ フレーバー:チョコレート シェイカー:シェイカー
smarttanpaku800_2s,yogurt-mix20,フレーバー:ヨーグルト フレーバー:ミックスベリー シェイカー:シェイカー
smarttanpaku800_2s,choco-cafe18,フレーバー:チョコレート フレーバー:カフェオレ シェイカー:シェイカー
smarttanpaku800_2s,mix-matcha19,フレーバー:ミックスベリー フレーバー:抹茶 シェイカー:シェイカー
smarttanpaku800_2s,matcha-cafe21,フレーバー:抹茶 フレーバー:カフェオレ シェイカー:シェイカー
smarttanpaku800_2s,cafe-matcha20,フレーバー:カフェオレ フレーバー:抹茶 シェイカー:シェイカー
smarttanpaku800_2s,matcha-choco21,フレーバー:抹茶 フレーバー:チョコレート シェイカー:シェイカー
smarttanpaku800_2s,mix-yogurt19,フレーバー:ミックスベリー フレーバー:ヨーグルト シェイカー:シェイカー
smarttanpaku800_2s,matcha-mix21,フレーバー:抹茶 フレーバー:ミックスベリー シェイカー:シェイカー
smarttanpaku800_2s,cafe-yogurt20,フレーバー:カフェオレ フレーバー:ヨーグルト シェイカー:シェイカー
smarttanpaku800_2s,yogurt-yogurt20,フレーバー:ヨーグルト フレーバー:ヨーグルト シェイカー:シェイカー
smarttanpaku800_2s,choco-matcha18,フレーバー:チョコレート フレーバー:抹茶 シェイカー:シェイカー
smarttanpaku800_2s,choco-choco18,フレーバー:チョコレート フレーバー:チョコレート シェイカー:シェイカー
smarttanpaku800_2s,mix-mix19,フレーバー:ミックスベリー フレーバー:ミックスベリー シェイカー:シェイカー
smarttanpaku800_2s,cafe-mix20,フレーバー:カフェオレ フレーバー:ミックスベリー シェイカー:シェイカー
smarttanpaku800_2s,yogurt-choco20,フレーバー:ヨーグルト フレーバー:チョコレート シェイカー:シェイカー
smarttanpaku800_2s,yogurt-cafe20,フレーバー:ヨーグルト フレーバー:カフェオレ シェイカー:シェイカー
smarttanpaku800_2s,mix-choco19,フレーバー:ミックスベリー フレーバー:チョコレート シェイカー:シェイカー
smarttanpaku800_3,smarttanpaku800_3-cho-yog-mix,フレーバー1:チョコレート フレーバー2:ヨーグルト フレーバー3:ミックスベリー
smarttanpaku800_3,smarttanpaku800_3-caf-mat-yog,フレーバー1:カフェオレ フレーバー2:抹茶 フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-cho-yog-mat,フレーバー1:チョコレート フレーバー2:ヨーグルト フレーバー3:抹茶
smarttanpaku800_3,smarttanpaku800_3-cho-caf-mat,フレーバー1:チョコレート フレーバー2:カフェオレ フレーバー3:抹茶
smarttanpaku800_3,smarttanpaku800_3-mat-mix-yog,フレーバー1:抹茶 フレーバー2:ミックスベリー フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-caf-yog-caf,フレーバー1:カフェオレ フレーバー2:ヨーグルト フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-cho-caf-mix,フレーバー1:チョコレート フレーバー2:カフェオレ フレーバー3:ミックスベリー
smarttanpaku800_3,smarttanpaku800_3-caf-cho-mat,フレーバー1:カフェオレ フレーバー2:チョコレート フレーバー3:抹茶
smarttanpaku800_3,smarttanpaku800_3-mix-yog-mix,フレーバー1:ミックスベリー フレーバー2:ヨーグルト フレーバー3:ミックスベリー
smarttanpaku800_3,smarttanpaku800_3-caf-cho-mix,フレーバー1:カフェオレ フレーバー2:チョコレート フレーバー3:ミックスベリー
smarttanpaku800_3,smarttanpaku800_3-mix-yog-mat,フレーバー1:ミックスベリー フレーバー2:ヨーグルト フレーバー3:抹茶
smarttanpaku800_3,smarttanpaku800_3-yog-mat-cho,フレーバー1:ヨーグルト フレーバー2:抹茶 フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-mat-mat-yog,フレーバー1:抹茶 フレーバー2:抹茶 フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-mix-mix-mix,フレーバー1:ミックスベリー フレーバー2:ミックスベリー フレーバー3:ミックスベリー
smarttanpaku800_3,smarttanpaku800_3-mix-caf-mat,フレーバー1:ミックスベリー フレーバー2:カフェオレ フレーバー3:抹茶
smarttanpaku800_3,smarttanpaku800_3-mix-mix-mat,フレーバー1:ミックスベリー フレーバー2:ミックスベリー フレーバー3:抹茶
smarttanpaku800_3,smarttanpaku800_3-mix-caf-mix,フレーバー1:ミックスベリー フレーバー2:カフェオレ フレーバー3:ミックスベリー
smarttanpaku800_3,smarttanpaku800_3-mix-cho-caf,フレーバー1:ミックスベリー フレーバー2:チョコレート フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-mat-yog-caf,フレーバー1:抹茶 フレーバー2:ヨーグルト フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-cho-cho-yog,フレーバー1:チョコレート フレーバー2:チョコレート フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-caf-yog-cho,フレーバー1:カフェオレ フレーバー2:ヨーグルト フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-mix-mat-cho,フレーバー1:ミックスベリー フレーバー2:抹茶 フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-yog-caf-mix,フレーバー1:ヨーグルト フレーバー2:カフェオレ フレーバー3:ミックスベリー
smarttanpaku800_3,smarttanpaku800_3-mat-caf-caf,フレーバー1:抹茶 フレーバー2:カフェオレ フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-caf-caf-yog,フレーバー1:カフェオレ フレーバー2:カフェオレ フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-yog-cho-yog,フレーバー1:ヨーグルト フレーバー2:チョコレート フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-yog-yog-mat,フレーバー1:ヨーグルト フレーバー2:ヨーグルト フレーバー3:抹茶
smarttanpaku800_3,smarttanpaku800_3-mix-cho-cho,フレーバー1:ミックスベリー フレーバー2:チョコレート フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-yog-mix-cho,フレーバー1:ヨーグルト フレーバー2:ミックスベリー フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-yog-yog-mix,フレーバー1:ヨーグルト フレーバー2:ヨーグルト フレーバー3:ミックスベリー
smarttanpaku800_3,smarttanpaku800_3-yog-caf-mat,フレーバー1:ヨーグルト フレーバー2:カフェオレ フレーバー3:抹茶
smarttanpaku800_3,smarttanpaku800_3-mat-yog-cho,フレーバー1:抹茶 フレーバー2:ヨーグルト フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-mat-mix-caf,フレーバー1:抹茶 フレーバー2:ミックスベリー フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-caf-yog-yog,フレーバー1:カフェオレ フレーバー2:ヨーグルト フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-mix-mix-cho,フレーバー1:ミックスベリー フレーバー2:ミックスベリー フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-mat-cho-caf,フレーバー1:抹茶 フレーバー2:チョコレート フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-caf-mat-caf,フレーバー1:カフェオレ フレーバー2:抹茶 フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-cho-cho-cho,フレーバー1:チョコレート フレーバー2:チョコレート フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-yog-mix-caf,フレーバー1:ヨーグルト フレーバー2:ミックスベリー フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-cho-mix-cho,フレーバー1:チョコレート フレーバー2:ミックスベリー フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-yog-yog-caf,フレーバー1:ヨーグルト フレーバー2:ヨーグルト フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-cho-mat-caf,フレーバー1:チョコレート フレーバー2:抹茶 フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-mix-yog-yog,フレーバー1:ミックスベリー フレーバー2:ヨーグルト フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-cho-yog-cho,フレーバー1:チョコレート フレーバー2:ヨーグルト フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-caf-cho-yog,フレーバー1:カフェオレ フレーバー2:チョコレート フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-caf-mix-yog,フレーバー1:カフェオレ フレーバー2:ミックスベリー フレーバー3:ヨーグルト
smarttanpaku800_3,smarttanpaku800_3-mat-cho-cho,フレーバー1:抹茶 フレーバー2:チョコレート フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-mix-caf-cho,フレーバー1:ミックスベリー フレーバー2:カフェオレ フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-mat-mat-caf,フレーバー1:抹茶 フレーバー2:抹茶 フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-mix-caf-caf,フレーバー1:ミックスベリー フレーバー2:カフェオレ フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-yog-cho-caf,フレーバー1:ヨーグルト フレーバー2:チョコレート フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-cho-cho-caf,フレーバー1:チョコレート フレーバー2:チョコレート フレーバー3:カフェオレ
smarttanpaku800_3,smarttanpaku800_3-yog-yog-cho,フレーバー1:ヨーグルト フレーバー2:ヨーグルト フレーバー3:チョコレート
smarttanpaku800_3,smarttanpaku800_3-cho-mix-caf,フレーバー1:チョコレート フレーバー2:ミックスベリー フレーバー3:カフェオレ
